Index,Country,CityCode,CityName,Name,Longitude,Latitude,pop1975,pop1980,pop1990,pop2000,pop2010,pop2020,pop2025,pop2030,pop2040,pop2050,gr1975,gr2000,gr2020,gr2025,gr2050,nr1975,nr2000,nr2020,nr2025,nr2050
1906,Japan,5245,Nagoya,Nagoya,136.926723,35.16536701,5.4,5.8,6.2,6.5,6.8,7.3,7.1,7,6.7,6.3,19,33,45,49,79,3,3,3,3,3
305,Canada,2925,Toronto,Toronto,-79.47357434,43.71950585,2,2.3,3.1,3.8,4.7,5.2,5.5,5.7,6,6.2,68,63,71,74,80,1,1,1,1,1
727,China,10474,Wuhan,Wuhan,114.2968021,30.56605013,1.7,2,2.7,5.6,6.7,7.6,7.4,7.1,6.7,6.2,87,40,43,46,81,9,5,6,7,10
2548,South Africa,413,Cape Town,Cape Town,18.59995874,-33.98053609,1,1.3,1.8,2.4,3.1,4.1,4.5,4.9,5.6,6.1,170,130,99,93,82,2,3,2,2,2
391,China,8833,Chongqing,Chongqing,106.5159685,29.54540979,1.5,1.9,2.6,5.3,4.9,7.2,7.1,6.9,6.5,6.1,96,44,46,51,83,13,7,7,9,11
2107,Myanmar,5433,Yangon,Yangon,96.14539487,16.86173006,2.2,2.5,3.1,3.8,4.7,5.4,5.6,5.8,6,6.1,60,62,69,70,84,1,1,1,1,1
1969,Madagascar,1961,Antananarivo,Antananarivo,47.53777092,-18.86510825,0.3,0.4,0.8,1.2,1.9,3.5,3.9,4.3,5.2,6,692,290,125,118,85,1,1,1,1,1
148,Bangladesh,6158,Savar,Savar,90.21690566,23.97419726,0.2,0.3,0.8,1.6,2.2,3,3.6,4.1,5.3,6,923,204,157,133,86,23,3,3,3,2
104,Bangladesh,7537,Chattogram,Chattogram,91.81039985,22.37286774,1.4,1.8,2.5,3.8,4.3,4.7,5,5.3,5.7,5.9,108,64,86,83,87,2,2,2,2,3
1443,India,9765,Kochi,Kochi,76.30881055,10.06127922,1.6,1.9,2.9,3.4,3.7,4.9,5.1,5.5,5.7,5.8,92,74,81,80,88,11,10,12,12,12
2609,Sri Lanka,615,Sri Jayawardenepura Kotte - Colombo,Sri Jayawardenepura Kotte - Colombo,79.92128544,6.919446525,2.1,2.4,2.9,3.8,4.3,5,5.2,5.4,5.7,5.8,63,61,77,78,89,1,1,1,1,1
2506,Saudi Arabia,1086,Jeddah,Jeddah,39.20899985,21.52933129,0.2,0.3,1,1.7,2.7,3.9,4.3,4.6,5.2,5.8,1091,188,105,100,90,1,2,2,2,2
894,Congo,554,Brazzaville,Brazzaville,15.26262884,-4.244194866,0.6,0.7,1,1.3,2,3.3,3.7,4.1,4.9,5.7,335,262,139,126,91,1,1,1,1,1
1465,India,9717,Lucknow,Lucknow,80.96543522,26.86152447,1.5,1.6,2.3,3.2,4.2,4.8,5.1,5.2,5.5,5.7,106,82,83,82,92,13,13,13,13,13
1800,Iran (Islamic Republic of),7072,Mashhad,Mashhad,59.48844142,36.34170459,1.3,1.7,2.9,3.5,4.4,5.2,5.4,5.5,5.6,5.7,115,71,75,75,93,2,2,2,2,2
2987,Yemen,4328,Şan'ā' (Sana'a),Sana'a,44.20456046,15.35811602,0.1,0.3,0.8,1.7,2.5,3.7,4,4.4,5.1,5.7,1521,197,115,111,94,4,1,1,1,1
2589,Spain,3440,Madrid,Madrid,-3.707614682,40.40519023,3,3.2,3.4,3.9,4.6,5.5,5.6,5.6,5.6,5.6,39,58,68,72,95,1,1,1,1,1
2847,United States of America,6237,Houston,Houston,-95.46766652,29.74636222,0.1,0.2,0.5,1.2,2.2,3.4,4,4.3,5,5.5,1668,277,129,115,96,39,12,4,3,3
1160,Ghana,1468,Kumasi,Kumasi,-1.613891304,6.695463229,0.4,0.5,0.8,1.5,2.4,4,4.3,4.6,5.1,5.4,465,227,102,98,97,2,2,2,2,2
2514,Senegal,33,Dakar,Dakar,-17.38936437,14.74390345,0.9,1.1,1.6,2.1,2.8,3.5,3.9,4.2,4.8,5.4,181,147,123,120,98,1,1,1,1,1
2307,Pakistan,4408,Peshawar,Peshawar,71.51793927,33.98914781,0.8,0.9,1.5,2.2,3,3.3,3.6,3.9,4.7,5.3,233,140,138,134,99,6,5,5,5,5
1952,Kuwait,305,Al Kuwayt (Kuwait City),Kuwait City,47.99948052,29.28283436,0.7,1.1,1.4,1.6,2.4,3.7,4.3,4.5,4.9,5.3,260,215,112,101,100,1,1,1,1,1
989,Dominican Republic,1455,Santo Domingo,Santo Domingo,-69.92189069,18.48614767,1.2,1.7,2.2,2.9,3.6,4.4,4.6,4.8,5.1,5.3,125,90,91,92,101,1,1,1,1,1
966,Democratic Republic of the Congo,6577,Lubumbashi,Lubumbashi,27.4813527,-11.66389922,0.2,0.3,0.4,0.7,1.4,2.4,2.8,3.3,4.3,5.3,1067,480,199,176,102,9,4,3,3,2
384,China,6602,Chengdu,Chengdu,104.0460297,30.67229907,2.8,3.2,4,5.5,7.1,6.3,6.1,6,5.6,5.2,43,41,59,64,103,4,6,11,12,12
